G, 472660062, /hello
G, 472660062, /time
G, 472660062, /sum 123 56
G, 472660062, /sum 12 12
G, 472660062, /hello
G, 472660062, /hello
G, 472660062, /hello
G, 472660062, /sum 2 + 3
G, 472660062, /sum 3 - 1
G, 472660062, /sum 6/ 2
G, 472660062, /sum 6 / 2
G, 472660062, /sum 5 * 5
G, 472660062, /calc 5 * 5
G, 472660062, /calc
G, 472660062, /calc 5 * 5
G, 472660062, /calc 5 * 5
G, 472660062, /calc 125 * 4
G, 472660062, /hello
G, 472660062, /help
G, 472660062, /time
G, 472660062, /hello
G, 472660062, /help
G, 472660062, /calc
G, 472660062, /hello
Sabi, 527886476, /help
Sabi, 527886476, /hello
Sabi, 527886476, /calc 5 - 2
G, 472660062, /help
G, 472660062, /time
G, 472660062, /help
G, 472660062, /time
G, 472660062, /hello
G, 472660062, /help
G, 472660062, /hello
G, 472660062, /time
G, 472660062, /calc 125 + 31
